Spec#,Date coll,Jar #,Tag # individ,M/F,mm,BD,MC(L),MC(S),ACANTH,Coordinates,,
CT_001,Sept-26-2023,CT68_81,CT78,M,22.93,,,,14,"CT68_81:32.8508 N, 80.1750 W",,
CT_002,Sept-26-2023,CT68_81,CT76,M,23.68,,,20+,,"CT68_81:32.8508 N, 80.1750 W",,
CT_003,Sept-26-2023,CT68_81,CT75,F,23.42,,,20+,3,"CT68_81:32.8508 N, 80.1750 W",,
CT_004,May-1-2019,CT68_81,Trog_0629,F,20.1,,3,20+,,"Cray2019_234: 32.84103N, -80.12437W",,
CT_005,May-1-2019,Cray2019_234,Trog_0628,F,16.8,,5,,,"Cray2019_234: 32.84103N, -80.12437W",,
CT_006,May-1-2019,Cray2019_234,Trog_0630,F,17.9,,,,,"Cray2019_234: 32.84103N, -80.12437W",,
CT_007,May-1-2019,Cray2019_234,Trog_0627,M,18.6,,3,,,"Cray2019_234: 32.84103N, -80.12437W",,
CT_008,May-1-2019,Cray2019_234,Trog_0632,F,13.2,,4,,,"Cray2019_234: 32.84103N, -80.12437W",,
CT_009,May-1-2019,Cray2019_234,Trog_0631,F,12.7,,,,,"Cray2019_234: 32.84103N, -80.12437W",,
CT_010,May-1-2019,Cray2019_234,Trog_0625,M,23.3,,,20+,,"Cray2019_234: 32.84103N, -80.12437W",,
CT_011,May-1-2019,Cray2019_234,Trog_0633,M,13.3,,5,5,,"Cray2019_234: 32.84103N, -80.12437W",,
CT_012,May-1-2019,Cray2019_234,Trog_0624,F,14.3,,,,,"Cray2019_234: 32.84103N, -80.12437W",,
CT_013,May-1-2019,Cray2019_234,Trog_0623,F,20.1,,8,,,"Cray2019_234: 32.84103N, -80.12437W",,
CT_014,May-1-2019,Cray2019_234,Trog_0626,M,15.2,,,20+,,"Cray2019_234: 32.84103N, -80.12437W",,
CT_015,May-4-2019,Cray2019_224,Trog_0274,F,21.6,,1,,,"Cray2019_224: 33.758077N, -80.058477",,
CT_016,May-4-2019,Cray2019_224,Trog_0282,F,17.3,,,,,"Cray2019_224: 33.758077N, -80.058477",,
CT_017,May-4-2019,Cray2019_224,Trog_0285,F,16.8,,1,,,"Cray2019_224: 33.758077N, -80.058477",,
CT_018,May-4-2019,Cray2019_224,Trog_0279,F,18.8,,,,,"Cray2019_224: 33.758077N, -80.058477",,
CT_019,May-4-2019,Cray2019_224,Trog_0278,M,17.7,,,,,"Cray2019_224: 33.758077N, -80.058477",,
CT_020,May-4-2019,Cray2019_224,Trog_0276,F,19.1,,,,,"Cray2019_224: 33.758077N, -80.058477",,
CT_021,May-4-2019,Cray2019_224,Trog_0270,M,28.5,,,,,"Cray2019_224: 33.758077N, -80.058477",,Row 307: Invalid or missing coordinates (Spec: CT_306)
CT_022,May-4-2019,Cray2019_224,Trog_0281,F,21.9,,,,,"Cray2019_224: 33.758077N, -80.058477",,Row 308: Invalid or missing coordinates (Spec: CT_307)
CT_023,May-4-2019,Cray2019_224,Trog_0273,F,21,,,,,"Cray2019_224: 33.758077N, -80.058477",,Row 309: Invalid or missing coordinates (Spec: CT_308)
CT_024,May-4-2019,Cray2019_224,Trog_0268,M,24.1,,1,,,"Cray2019_224: 33.758077N, -80.058477",,Row 310: Invalid or missing coordinates (Spec: CT_309)
CT_025,May-4-2019,Cray2019_224,Trog_0272,F,20.8,,,,,"Cray2019_224: 33.758077N, -80.058477",,Row 321: Invalid date format (Spec: CT_320)
CT_026,May-4-2019,Cray2019_224,Trog_0275,M,24.7,,,,,"Cray2019_224: 33.758077N, -80.058477",,Row 322: Invalid date format (Spec: CT_321)
CT_027,May-20-2019,Cray2019_314,Trog_0311,F,25.7,,,,4,"Cray2019_314: 33.244488N, -79.520632W",,Row 323: Invalid date format (Spec: CT_322)
CT_028,May-25-2019,Cray2019_338,Trog_0211,M,20.9,,6,10,,"Cray2019_388: 33.284252N, -79.616924W",,Row 324: Invalid date format (Spec: CT_323)
CT_029,May-25-2019,Cray2019_338,Trog_0206,F,32.1,,,8,,"Cray2019_388: 33.284252N, -79.616924W",,Row 325: Invalid date format (Spec: CT_324)
CT_030,May-25-2019,Cray2019_338,Trog_0208,F,25.1,,,3,,"Cray2019_388: 33.284252N, -79.616924W",,Row 326: Invalid date format (Spec: CT_325)
CT_031,May-25-2019,Cray2019_338,Trog_0205,M,24.8,,,,,"Cray2019_388: 33.284252N, -79.616924W",,Row 327: Invalid date format (Spec: CT_326)
CT_032,May-25-2019,Cray2019_338,Trog_0204,M,30,,,,,"Cray2019_388: 33.284252N, -79.616924W",,Row 328: Invalid date format (Spec: CT_327)
CT_033,May-25-2019,Cray2019_338,Trog_0210,F,25.4,,2,,,"Cray2019_388: 33.284252N, -79.616924W",,Row 329: Invalid date format (Spec: CT_328)
CT_034,May-25-2019,Cray2019_338,Trog_0209,M,26.4,,,,,"Cray2019_388: 33.284252N, -79.616924W",,Row 330: Invalid date format (Spec: CT_329)
CT_035,May-25-2019,Cray2019_338,Trog_0207,F,26.8,,,,,"Cray2019_388: 33.284252N, -79.616924W",,Row 331: Invalid date format (Spec: CT_330)
CT_036,May-25-2019,Cray2019_338,Trog_0203,M,22.1,,,,,"Cray2019_388: 33.284252N, -79.616924W",,Row 332: Invalid date format (Spec: CT_331)
CT_037,May-25-2019,Cray2019_338,Trog_0202,M,29.3,,,,,"Cray2019_388: 33.284252N, -79.616924W",,Row 333: Invalid date format (Spec: CT_332)
CT_038,May-25-2019,Cray2019_338,Trog_0199,M,27.4,,,,,"Cray2019_388: 33.284252N, -79.616924W",,Row 334: Invalid date format (Spec: CT_333)
CT_039,May-25-2019,Cray2019_338,Trog_0200,M,16.7,,,,,"Cray2019_388: 33.284252N, -79.616924W",,Row 335: Invalid date format (Spec: CT_334)
CT_040,May-25-2019,Cray2019_338,Trog_0201,M,17.3,,,,,"Cray2019_388: 33.284252N, -79.616924W",,Row 336: Invalid date format (Spec: CT_335)
CT_041,May-4-2019,Craay2019_194,Trog_0147,F,24.5,,4,,,"Cray2019_194: 33.13923N, -80.950847W",,
CT_042,May-4-2019,Craay2019_194,Trog_0146,M,26.4,6,5,,,"Cray2019_194: 33.13923N, -80.950847W",,
CT_043,May-4-2019,Craay2019_194,Trog_0144,F,26.3,5,,4,,"Cray2019_194: 33.13923N, -80.950847W",,
CT_044,May-4-2019,Cray2019_194,Trog_0145,M,25.8,2,,,,"Cray2019_194: 33.13923N, -80.950847W",,
CT_045,Nov-18-19,Cray2019_537,Trog_0362,F,28.7,,,,,"Cray2019_537: 33.34346N, -79.23802W",,
CT_046,Nov-18-19,Cray2019_537,Trog_0364,F,14.4,,,,,"Cray2019_537: 33.34346N, -79.23802W",,
CT_047,May-4-2019,Cray2019_197,Trog_0287,M,25.4,,,,,"Cray2019_197: 33.708945N, -80.052560W",,
CT_048,May-4-2019,Cray2019_218,Trog_0321,M,23.1,,,,,"Cray2019_218: 33.82445N, -80.169257W",,
CT_049,May-4-2019,Cray2019_203,Trog_0317,F,23.2,,,,,"Cray2019_203: 33.724845N, -80.957373W",,
CT_050,May-4-2019,Cray2019_203,Trog_0316,F,21.1,,,,,"Cray2019_203: 33.724845N, -80.957373W",,
CT_051,May-4-2019,Cray2019_239,Trog_0301,M,31.9,,,,,"Cray2019_239: 33.500044N, -79.958492W",,
CT_052,May-4-2019,Cray2019_239,Trog_0300,M,27.3,,,,,"Cray2019_239: 33.500044N, -79.958492W",,
CT_053,May-4-2019,Cray2019_239,Trog_0302,F,25.4,,,,,"Cray2019_239: 33.500044N, -79.958492W",,
CT_054,May-4-2019,Cray2019_239,Trog_0299,M,25.1,,2,,,"Cray2019_239: 33.500044N, -79.958492W",,
CT_055,May-25-2019,Cray2019_?,Trog_0298,M,29.8,,2,,,"Cray2019_(?): 33.244488N, -79.520632W",,
CT_056,May-25-2019,Cray2019_?,Trog_0215,M,29.1,,,9,,"Cray2019_(?): 33.244488N, -79.520632W",,
CT_057,May-25-2019,Cray2019_?,Trog_0213,M,30.1,4,,5,,"Cray2019_(?): 33.244488N, -79.520632W",,
CT_058,May-25-2019,Cray2019_?,Trog_0214,M,27.4,,,,,"Cray2019_(?): 33.244488N, -79.520632W",,
CT_059,May-25-2019,Cray2019_?,Trog_0215,M,30.5,,,,2,"Cray2019_(?): 33.244488N, -79.520632W",,
CT_060,May-11-2019,Cray2019_228,Trog_0254,F,21.4,,,,1,"Cray2019_228: 32.765009W, -80.447191W ",,
CT_061,May-11-2019,Cray2019_228,Trog_0253,M,17.4,,,2,,"Cray2019_228: 32.765009W, -80.447191W ",,
CT_062,Jun-16-2019,Cray2019_367,Trog_0157,F,25.5,,4,,,"Cray2019_367: 33.477345N, -80.874284W",,
CT_063,Jun-16-2019,Cray2019_367,Trog_0156,M,21.9,,,,,"Cray2019_367: 33.477345N, -80.874284W",,
CT_064,May-11-2019,Cray2019_227,Trog_0636,M,18.2,,,,,"Cray2019_227: 33.139319N, -80.339384W",,
CT_065,May-11-2019,Cray2019_227,Trog_0635,M,24.4,,2,5,,"Cray2019_227: 33.139319N, -80.339384W",,
CT_066,May-11-2019,Cray2019_227,Trog_0634,F,25,,,6,,"Cray2019_227: 33.139319N, -80.339384W",,
CT_067,May-28-2019,Cray2019_343,Trog_0322,M,18.6,,,,,"Cray2019_343: 33.663113N, -79.135584W",,
CT_068,May-28-2019,Cray2019_343,Trog_0323,F,19.8,4,,,,"Cray2019_343: 33.663113N, -79.135584W",,
CT_069,7-Nov-2019,Cray2019_534,Trog_0314,M,21.8,,,,,"Cray2019_534: 32.79932N, -79.89759W",,
CT_070,18-May-2019,Cray2019_304,Trog_0220,M,30.8,3,,,,"Cray2019_304: 33.231733N, -79.481915W",,
CT_071,18-May-2019,Cray2019_304,Trog_0219,M,29.6,1,,,,"Cray2019_304: 33.231733N, -79.481915W",,
CT_072,18-May-2019,Cray2019_304,Trog_0218,F,25.9,,,,,"Cray2019_304: 33.231733N, -79.481915W",,
CT_073,18-May-2019,Cray2019_304,Trog_0217,M,23.7,,,,,"Cray2019_304: 33.231733N, -79.481915W",,
CT_074,18-May-2019,Cray2019_304,Trog_0216,M,30.1,,,,,"Cray2019_304: 33.231733N, -79.481915W",,
CT_075,23-May-2019,Cray2019_?,N/A,F,26.1,,,10,,"Cray2019_?: 33.231833N, -79.480719W",,
CT_076,23-May-2019,Cray2019_?,N/A,M,33.4,,,,2,"Cray2019_?: 33.231833N, -79.480719W",,
CT_077,23-May-2019,Cray2019_?,N/A,F,27.2,,,,,"Cray2019_?: 33.231833N, -79.480719W",,
